english,hindi
"No, that's what I meant.
","हाँ। नहीं, मेरा वही मतलब था।
"
"It's rock, paper, scissors.
","यह रॉक, कागज, कैंची.
"
"Like we do at home.
","जैसे हम घर पर नहीं।
"
"One minute and counting.
","एक मिनट और गिनती शुरू।
"
"I had a million questions.
","मेरे मन में हजारों सवाल थे।
"
"- Vincent, I've found it!
","-विंसेंट, मैंने वह ढूंढ़ लिया है।
"
"I'll have a mouthful.
","मैं संतुष्‍ट हो जाऊंगा.
"
"What a terrific crowd!
","शुक्रिया! क्या शानदार लोग हैं!
"
"Marshal Pentecost on deck.
","डेक पर मार्शल पेंटेकोस्ट.
"
"Don't do anything stupid, Banks.
","Don't do anything stupid, banks.
"
"What is being told me?
","क्या मुझे बताया जा रहा है?
"
"You're a useless cadet .
","तुम एक बेकार खेतिहर हो.
"
"Get off the sidewalk.
","बंद किनारे हो जाओ.
"
"Our world, we hope.
","हमारा ग्रह, हम आशा करते हैं .
"
"Come inside, you guys.
","अंदर आओ, तुम लोग.
"
"Your droids peel away.
","आपकी droids दूर छील.
"
"Have a nice day.
","आपका दिन अच्छा रहे.
"
"My name is Sebastian Shaw.
","मेरा नाम सेबस्टियन शा है.
"
"Forget about the baby?
","बेबी के बारे में भूल जाओ?
"
"I'm telling you to stop.
","मै आपसे रुकने के लिये कह रही हूँ.
"
"man speaking native language:
","पुरुष अपनी मातृभाषा में बोल रहा है:
"
"No, no, Let it be!
","नहीं, नहीं, रहने दो!
"
"I'm going that way.
","मैं उस रास्ते पर जा रहा हूँ.
"
"Do you know him, Shiva?
","क्या तुम इसे जानते हो,शिवा?
"
"He just made a left.
","वह सिर्फ एक छोड़ दिया.
"
"Because of the black hole?
","ब्लैक होल के कारण ?
"
"Please let us get married.
","कृपया हमें शादी मिलता है।
"
"A man needs a name.
","एक आदमी एक नाम की जरूरत है।
"
"Let's get out of here.
","चलो अब चलो यहाँ से .
"
"Get back on your horse.
","अपने घोड़े पर वापस जाओ।
"
"I love that painting.
","मुझे ये पेंटिंग पसंद है।
"
"Get back I said.
","वापस आओ मैंने कहा न.
"
"I can not hear you.
","मैं तुम्हें सुन नहीं सकता.
"
"He can help us.
","वह हमारी मदद कर सकते हैं.
"
"What would you tell them?
","क्या आप उन्हें बताना होगा?
"
"My dad picked me up.
","मेरे पिताजी मुझे वहां से ले आये.
"
"Make for the rocks.
","हन्ना कहां है?
"
"Doesn't work well with others.
","दूसरों के साथ अच्छी तरह से काम नहीं करता है।
"
"Let's go back down again.
","चलो वापस फिर से नीचे.
"
"Look after my kids, Donald!
","मेरे बच्चो का ख़याल रखना , Donald!
"
"You can't do nothing.
","आप हाथ पर हाथ रखे नहीं बैठे रह सकते.
"
"I got a massive headache.
","मैं एक है भारी सिरदर्द.
"
"What are you doing?
","क्या कर रहे हो?
"
"This is for you.
","यह आपके लिए है.
"
"I have a bogey incoming!
","मैं आने वाले एक दलदली है!
"
"I could tell you exactly
","मैं आपको बता सकता है वही
"
"Welcome back to Rome.
","रोम के लिए वापसी पर स्वागत है।
"
"Look at this, Pelle.
","यह देखो, पेले.
"
"- She found us.
","वह हमें मिल गया है.
"
"DON'T FUCK THIS UP.
","इस प्रदेश बकवास मत करो.
"
"Well, actually, I said,
","वास्‍तव में, मैंने कहा था,
"
"Seven years per hour here.
","एक घंटा सात साल के बराबर है यहाँ .
"
"Did Caesar live here?
","क्या कैसर यहाँ रहते हैं?
"
"I've always been ambitious.
","मैं हमेशा महत्वाकांक्षी किया गया है.
"
"Did Jimmy do it?
","जिमी यह क्या किया?
"
"Bring in subject 35-C.
","विषय 35--सी में लाओ।
"
"Oh, I left my drill.
","ओह, मैं अपने ड्रिल छोड़ दिया.
"
"You must be Robb.
","आप रॉब होना चाहिए।
"
"I don't usually get visitors.
","आम तौर पर मेरे यहाँ कोई आता नहीं है।
"
"I know. What the fuck?
","मैं जानता / जानती हूँ.
"
"[woman speaking native language]
","[महिला मातृभाषा में बोल रही है]
"
"And that was your mates.
","ये तो केवल तुम्हारे साथी थे.
"
"can I ask you something?
","जिम, तुम से कुछ पूछूं? -ज़रूर, एमी.
"
"Why are you crying?
","रो क्यों रही हो?
"
"Show me what you got.
","तुम्हारे पास क्या है मुझे बताओ.
"
"Yeah, he was fine.
","हाँ, वह ठीक था.
"
"PETER, HE'S MY S--
","पीटर, वह मेरे एस -
"
"- Stay where you are!
","- जहाँ हो वहीं रुक जाओ!
"
"No. You don't mean...
","तुम्हारा मतलब यह तो नहीं...
"
"Second mark is not present.
","दूसरा निशान मौजूद नहीं है.
"
"Go back to that life.
","वापस कि जीवन में जाओ.
"
"- None can enter.
","- कोई भी प्रवेश कर सकते हैं.
"
"It is for me.
","यह मेरे लिए है।
"
"I send Vito, his friend.
","मैं अपने दोस्त वीटो भेजें.
"
"Who else feels that way?
","और किसे ऐसा लगता है?
"
"We're not going home.
","- हम घर नहीं जा रहे हैं! - क्या?
"
"If we go to war...
","लड़ाई छेड़ी...
"
"I think of you endlessly.
","मैं हमेशा तुम्हारे बारे में सोचता हूँ ...
"
"Baskin-Robbins always finds out, bro.
","बास्किन रॉबिन्स हमेशा भाई, पता चल गया।
"
"Superman was never real.
","सुपरमैन वास्तविक कभी नहीं था।
"
"Yeah, I'm on it.
","हाँ, मैं उस पर हूँ.
"
"The guard simply didn't notice.
","गार्डों ने बस ध्यान नहीं दिया.
"
"I'm going to bed.
","मैं बिस्तर पर जा रहा हूँ.
"
"That would be nice.
","यह अच्छा होगा.
"
"Is the Manager in?
","प्रबंधक में है?
"
"I am controlling 247.
","मैं 247 को नियंत्रित कर रहा हूँ।
"
"And take out the vermin..
","और कीड़े बाहर ले ..
"
"- Vincent. - Not now!
","-विंसेंट।
"
"- Okay, it's not...
","- ठीक है, यह नहीं है...
"
"Go and eat something.
","जाओ और कुछ खा ले।
"
"You rush too much.
","तुम बहुत ज्यादा जल्दी में हो.
"
"It's not a demo.
","यह प्रदर्शन नहीं है.
"
"I thought that helps me.
","मैंने सोचा कि मदद करता है.
"
"Please state your name.#
","कृपया अपना नाम बताएं #
"
"I'm very sorry to interrupt.
","I am very sorry to interrupt.
"
"Oh, she's in the back.
","ओह, वह वापस में है.
"
"A truly historic handshake.
","--वास्तविक रूप से ऐतिहासिक समझौता है।
"
"Thought he could blackmail Morel.
","वह मोरेल ब्लैकमेल कर सकता है सोचा.
"
"We're not pulling out, Alphonse.
","हम अल्फोंस बाहर खींच नहीं हैं.
"
"But you can't be.
","लेकिन आप नहीं हो सकता.
"
"We can't trust men.
","पुरुषों पर भरोसा नहीं कर सकते हैं.
"
"All edible, except the squeal.
","चीखों के सिवाय सब खाया जा सकता है।
"
"Umm I was just curious.
","मैं बस थोड़ा व्याकुल हूँ.
"
"Mechanic, limo driver, construction.
","निर्माण।
"
"He's my PA Seenu.
","ये मेरा पीए सीनू है.
"
"Don't call me that!
","कि मुझे फोन मत!
"
"Fasten your seat belt.
","अपनी सीट बेल्ट बाँधो।
"
"Now, where's the phone?
","फ़ोन कहां है ?
"
"- (GRUNTING) - (LISA SCREAMS)
","- (घुरघुराना) - (लिसा चिल्लाती)
"
"I'm still gonna kill him.
","-मैं फिर भी उसे मारकर रहूंगा।
"
"They were four..you knew.
","वे थे four.. you जानता था।
"
"No, I told you...
","नहीं, मैंने तुमसे कहा था...
"
"- It's a jewelry store.
","- यह एक गहने की दुकान है.
"
"We'll never leave this place.
","हम इस जगह को कभी नहीं छोड़ेंगे.
"
"But this party's for girls.
","लेकिन इस पार्टी लड़कियों के लिए है.
"
"""So click my photo... beloved.""
","""तो मेरी तस्वीर पर क्लिक करें ... प्रिय""
"
"Hey Tracy, it's Phil.
","अरे ट्रेसी, यह फिल है.
"
"- I don't know.
","पता नहीं।
"
"I finally asked him why.
","मैं अंत में उसे क्यों कहा.
"
"Let's find that river.
","चलो कि नदी.
"
"(WHISPERS) All right, come on.
","(फुसफुसातेहुए)ठीक है, चलो .
"
"I'm tired of starting over.
","मैं से शुरू कर के थक गया हूँ.
"
"By the way, John Cale.
","जॉन केल।
"
"Are you being serious?
","आप गंभीर जा रहा है?
"
"For you, my dear... anything.
","तुम्हारे लिए, मेरी जान... मैं कुछ भी करूँगा।
"
"I want to thank him.
","मैं उसे धन्यवाद देना चाहता हूँ.
"
"- Fucking cave bear.
","- कमीना गुफा भालू.
"
"That girl will be human.
","वह लड़की मानव होगा.
"
"I've just been promoted and...
","मुझे अभी प्रमोशन मिला है और...
"
"I am talking to you.
","मैं तुमसे बात कर रहा हूँ।
"
"Let go, you little...
","जाने दो, तुम छोटे...
"
"What are you looking at?
","क्या देख रहे हो तुम?
"
"We can save everyone.
","हम सभी को बचा सकते हैं.
"
"Tell them I'm no coward.
","उन्हें बताओ कि मैं कोई कायर हूँ।
"
"We have got hundreds..
","यहां पर सैकड़ों
"
"Have a great day.
","शुभ दिन।
"
"Well, I'm either alive
","खैर, मैं तो जिंदा हूँ
"
"This was your plan?
","यह आपकी योजना थी?
"
"Did she kill him?
","वह उसे मारा?
"
"What are you doing here?
","आप यहाँ क्या कर रहे हो?
"
"- The decision was made.
","~ बनाया गया था.
"
"It's not the same.
","एक ही बात नहीं।
"
"""Sweetheart I swear on you.""
","""जानेमन मैं तुम पर कसम खाता हूँ।""
"
"You might lose your car.
","आप अपनी कार खो सकता है.
"
"We always have a choice.
","हमारे पास हमेशा कोई न कोई विकल्प होता है।
"
"Your life will die.
","अपने जीवन मर जाएगा.
"
"Making a few friends, Andy?
","कुछ दोस्त बनाना, क्या हम हैं एंडी?
"
"-Oh, how do you do?
","- अरे, तुम कैसे करते हो?
"
